user_id,product_id,rating
3,1,5.0
3,2,4.0
3,7,5.0
3,7,0.0
3,8,0.0
3,2,4.5
3,4,2.5
3,5,3.5
17,6,5.0
3,7,2.5
3,8,1.0
20,4,4.0
17,5,3.0
2,5,1.0
1,5,3.0
1,6,4.5
2,7,5.0
2,3,3.0
20,5,2.0
17,1,4.0
1,2,3.5
3,6,5.0
20,7,4.5
3,3,4.0
17,3,2.5
1,7,4.0
3,4,3.5
3,1,3.0
17,7,5.0
20,2,4.0
3,6,3.5
2,6,2.0
1,3,5.0
17,4,4.0
20,6,2.5
3,5,2.0
17,1,3.5
1,4,2.5
3,7,3.5
17,5,3.5
2,2,5.0
3,3,4.5
17,6,2.0
1,2,4.0
20,5,4.0
3,1,4.5
2,3,4.5
3,6,2.5
20,7,3.5
1,6,3.5
17,2,5.0
3,4,5.0
17,5,4.5
2,6,4.0
3,2,2.5
1,3,4.0
17,7,3.0
20,4,3.5
3,1,2.0
2,7,4.5
1,5,5.0
17,3,3.0
20,6,4.5
3,2,5.0
1,7,3.0
17,4,5.0
3,6,1.5
20,3,3.5
2,5,4.5
3,4,4.0
1,6,5.0
17,2,4.0
20,7,2.5
3,1,1.0
2,3,4.0
17,5,4.0
1,2,2.0
3,7,4.0
20,6,3.0
17,6,3.5
1,5,3.5
3,4,2.0
2,2,3.0
20,4,2.5
17,3,4.0
1,6,3.0
2,7,2.0
3,5,4.5
20,1,4.0
17,7,2.5
1,4,4.0
3,6,2.0
17,2,4.5
3,3,3.0
2,6,3.5
1,2,5.0
17,5,2.5
3,7,3.0
20,5,4.0
3,1,5.0
17,6,4.0
1,5,2.5
20,3,4.5
2,4,3.0
17,7,5.0
3,2,3.5
1,6,4.5
20,5,3.5
2,3,4.0
17,1,3.0
3,5,2.0
1,4,4.5
17,6,5.0
20,7,3.0
3,4,5.0
2,2,4.0
17,3,2.5
1,5,4.5
20,4,5.0
3,1,4.5
17,5,3.0
2,7,3.0
1,6,2.5
17,6,4.5
3,2,4.0
20,5,4.5
1,7,5.0
3,5,3.0
17,3,5.0
2,6,2.5
3,4,4.5
1,3,3.0
17,7,4.0
20,6,1.5
2,2,5.0
17,1,2.0
3,7,5.0
20,3,5.0
17,6,3.0
3,5,4.0
20,4,3.0
1,2,2.5
3,1,2.5
2,7,1.0
17,3,4.5
1,5,2.0
3,6,4.0
17,5,2.0
20,6,4.0
2,5,3.5
3,4,1.5
1,7,2.0
17,6,4.0
20,5,5.0
3,7,4.5
1,2,3.0
17,3,3.5
3,1,4.0
2,6,3.0
20,4,4.5
17,7,4.5
3,5,5.0
2,3,3.5
1,4,3.5
3,6,5.0
17,5,5.0
20,7,4.5
1,3,4.5
3,2,1.5
17,1,4.0
20,5,4.0
2,7,5.0
3,4,4.0
17,6,4.0
1,6,4.0
3,7,3.0
17,5,3.0
20,3,4.5
3,2,3.5
17,3,5.0
1,5,4.0
3,6,3.0
17,7,3.5
2,4,2.0
1,2,4.5
3,5,4.0
20,7,2.0
3,1,3.5
17,6,2.5
2,6,3.5
1,7,3.5
17,5,4.5
20,4,5.0
